condition,dim,i2t_r1,i2t_r5,i2t_r10,t2i_r1,t2i_r5,t2i_r10,i2t_r1_ret,t2i_r1_ret,tau_mode,weight_mode
abl_fixed_equal,32,76.2,94.6,98.0,61.96,86.42,92.16,90.82240762812873,88.86976477337923,fixed,equal
abl_fixed_equal,64,81.5,95.89999999999999,98.8,66.78,89.58,94.22,97.13945172824792,95.78313253012048,fixed,equal
abl_fixed_equal,128,82.89999999999999,97.0,98.7,68.54,90.38000000000001,94.89999999999999,98.80810488676997,98.30751577739531,fixed,equal
abl_fixed_equal,256,83.8,97.0,99.0,69.48,90.7,94.96,99.880810488677,99.65576592082617,fixed,equal
abl_fixed_equal,512,83.89999999999999,96.89999999999999,99.4,69.72,90.72,95.06,100.00000000000001,100.0,fixed,equal
abl_fixed_inverse,32,78.5,95.1,98.2,62.160000000000004,87.0,92.75999999999999,92.46171967020024,88.90160183066361,fixed,inverse
abl_fixed_inverse,64,81.89999999999999,96.0,98.9,66.78,89.38000000000001,94.16,96.46643109540636,95.50915331807781,fixed,inverse
abl_fixed_inverse,128,83.89999999999999,97.1,98.8,68.10000000000001,90.10000000000001,94.76,98.82214369846879,97.39702517162472,fixed,inverse
abl_fixed_inverse,256,83.7,97.0,98.8,69.16,90.46,94.74000000000001,98.58657243816255,98.91304347826086,fixed,inverse
abl_fixed_inverse,512,84.89999999999999,97.1,98.9,69.92,90.52,94.8,100.00000000000001,100.0,fixed,inverse
abl_fixed_linear,32,74.6,93.10000000000001,97.2,60.480000000000004,84.8,90.98,88.28402366863904,86.10478359908883,fixed,linear
abl_fixed_linear,64,80.9,95.8,98.7,66.2,89.2,94.04,95.73964497041422,94.24829157175398,fixed,linear
abl_fixed_linear,128,83.1,96.89999999999999,99.0,68.88,90.58,94.94,98.34319526627219,98.06378132118449,fixed,linear
abl_fixed_linear,256,84.0,97.1,99.1,69.62,90.82000000000001,95.16,99.40828402366864,99.11731207289293,fixed,linear
abl_fixed_linear,512,84.5,97.39999999999999,99.2,70.24000000000001,90.88000000000001,95.32000000000001,100.0,100.0,fixed,linear
abl_learnable_equal,32,76.2,94.39999999999999,97.89999999999999,61.839999999999996,86.66,92.38,88.19444444444444,86.32049134561697,learnable,equal
abl_learnable_equal,64,82.5,96.7,99.0,67.38,89.82,94.5,95.4861111111111,94.0536013400335,learnable,equal
abl_learnable_equal,128,85.1,97.0,98.7,69.74000000000001,90.84,95.14,98.49537037037037,97.34785036292575,learnable,equal
abl_learnable_equal,256,85.5,97.3,99.0,71.04,91.08000000000001,95.1,98.95833333333333,99.16247906197655,learnable,equal
abl_learnable_equal,512,86.4,97.6,99.2,71.64,91.34,95.36,100.0,100.0,learnable,equal
abl_learnable_inverse,32,78.10000000000001,95.5,98.1,62.13999999999999,86.98,92.84,90.18475750577369,87.66930022573362,learnable,inverse
abl_learnable_inverse,64,83.3,96.3,98.9,67.30000000000001,89.7,94.39999999999999,96.18937644341803,94.94920993227993,learnable,inverse
abl_learnable_inverse,128,85.1,97.2,98.9,69.17999999999999,90.82000000000001,95.02000000000001,98.26789838337183,97.60158013544017,learnable,inverse
abl_learnable_inverse,256,86.5,96.89999999999999,98.9,70.86,90.92,95.17999999999999,99.88452655889147,99.97178329571106,learnable,inverse
abl_learnable_inverse,512,86.6,97.7,99.1,70.88,91.16,95.22,100.0,100.0,learnable,inverse
abl_learnable_linear,32,73.7,93.2,96.8,59.88,84.84,90.74,85.20231213872832,84.17205510261456,learnable,linear
abl_learnable_linear,64,81.89999999999999,95.6,99.0,66.46,89.36,94.32000000000001,94.68208092485548,93.42142254709023,learnable,linear
abl_learnable_linear,128,84.39999999999999,96.8,99.4,69.67999999999999,90.84,95.34,97.57225433526011,97.947708743323,learnable,linear
abl_learnable_linear,256,85.39999999999999,97.3,99.1,70.8,91.34,95.34,98.72832369942196,99.522069159404,learnable,linear
abl_learnable_linear,512,86.5,97.3,99.5,71.14,91.72,95.42,100.0,100.0,learnable,linear
abl_per_dim_equal,32,75.7,95.3,97.89999999999999,61.82,86.48,92.30000000000001,87.51445086705202,86.85023883113234,per_dim,equal
abl_per_dim_equal,64,82.19999999999999,96.6,99.0,67.2,89.78,94.3,95.02890173410402,94.40854172520372,per_dim,equal
abl_per_dim_equal,128,85.2,96.89999999999999,99.0,69.62,90.7,95.08,98.4971098265896,97.80837313852207,per_dim,equal
abl_per_dim_equal,256,85.7,97.2,98.9,70.76,91.06,95.12,99.07514450867052,99.4099466142175,per_dim,equal
abl_per_dim_equal,512,86.5,97.6,99.3,71.17999999999999,91.44,95.38,100.0,100.0,per_dim,equal
